"run_index","weibull_lambda","senescence_dose_response__max_effect","senescence_dose_response__half_sat","juv_decline_dose_response__max_effect","juv_decline_age_half_sat","shade_dose_response__max_effect","shade_dose_response__half_sat","R_max","K_half","age_first_flower_mean","N_alive_mean","N_alive_cv","N_alive_trend","N_IUCN_mean","adult_frac_mean","adult_frac_final","juv_age_mean","adult_age_mean","recruit_rate","births_mean","extinction"
1,45,0.45,26.25,0.4725,6.25,0.95,8000,2000,4000,4.75,6524.88,0.0106168960188527,3.38180072028809,4338.78,0.664976891131779,0.668830188679245,1.5697356426618,12.3552245542767,0.106601351357431,695.6,0
2,45,0.45,26.25,0.4725,6.25,0.95,2375,2000,4000,4.75,4271.6,0.0107690062980824,-2.31039615846339,2920.88,0.68381980551868,0.681731229076997,1.66942148760331,12.5934759733427,0.0927563792288732,396.28,0
3,45,0.45,26.25,0.99,6.25,0.95,2375,2000,4000,4.75,3041.62,0.0123437560111642,0.645234093637454,1975,0.649312367500647,0.657502484266313,1.4110251450677,12.3476070528967,0.121608886675106,369.94,0
4,45,0.45,26.25,0.99,6.25,0.4625,2375,2000,4000,4.75,4151.08,0.0109977561207397,-1.46074429771909,2585.86,0.622994803377005,0.615643802647413,1.32185347526612,12.1716184519156,0.142698909131001,592.46,0
5,45,0.45,26.25,0.99,1,0.4625,2375,2000,4000,4.75,10745.12,0.00977363480066222,-2.92014405762305,7706.8,0.717235395015781,0.713982660025825,1.91067397613673,12.5385609094432,0.0787251093969644,845.9,0
6,45,0,26.25,0.99,1,0.4625,2375,2000,4000,4.75,27713.76,0.00342969841332073,3.64917166866747,24572.28,0.886645418025509,0.884325681492109,1.78418604651163,46.9795578990063,0.0359887072226174,997.4,0
7,45,0,26.25,0.99,1,0.4625,2375,2000,1150,4.75,30596.12,0.00307106168341031,4.01085234093634,27108.56,0.886012244976022,0.888335773548072,1.80565268065268,47.0929934439439,0.0362304852890995,1108.5,0
8,120,0,26.25,0.99,1,0.4625,2375,2000,1150,4.75,61015.06,0.0259902300713153,108.483793517407,57702.36,0.945671874915127,0.945472571050892,1.82655122655123,83.2700687405336,0.0178593805671748,1089.06,0
9,120,0,60,0.99,1,0.4625,2375,2000,1150,4.75,61015.06,0.0259902300713153,108.483793517407,57702.36,0.945671874915127,0.945472571050892,1.82655122655123,83.2700687405336,0.0178593805671748,1089.06,0
10,120,0,60,0.99,1,0.4625,2375,575,1150,4.75,20756.42,0.0201553235345038,28.6172869147659,19702.64,0.949212398660469,0.950870010235415,1.84659090909091,88.5550934533712,0.0153056835085009,317.56,0
11,120,0,60,0.99,1,0.4625,2375,575,1150,10,20912.22,0.0231200254456408,33.0850900360144,18805.76,0.899222130065302,0.903194578896418,4.3447619047619,93.8681672025724,0.0155401729379777,324.78,0
12,120,0.15,60,0.8175,8,0.95,6125,575,1150,3,5736.72,0.00398280694706871,0.915534213685471,5218.66,0.909698242974473,0.911049339819319,0.748046875,26.5799008390542,0.0469853429430034,269.56,0
13,120,0.15,60,0.8175,8,0.95,6125,575,4000,3,4221.68,0.00735347946492513,-1.17282112845139,3856,0.913396370299579,0.905466698496061,0.843434343434343,26.8895333509096,0.0415805852434355,175.56,0
14,120,0.6,60,0.8175,8,0.95,6125,575,4000,3,3391.18,0.00996398882463578,-0.874861944777913,3021.94,0.891140154707392,0.889606576629477,0.973404255319149,19.6023102310231,0.0501403123764357,170.06,0
